title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
To Kill a Mockingbird,Harper Lee,,,Invalid Length (not 10 or 13 after cleaning)
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Fault in Our Stars,John Green (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,Invalid Length (not 10 or 13 after cleaning)
The Da Vinci Code,Dan Brown (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Les Misérables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Fahrenheit 451,Ray Bradbury,'B0064CPN7I,00647,Invalid Length (not 10 or 13 after cleaning)
The Perks of Being a Wallflower,Stephen Chbosky,,,Invalid Length (not 10 or 13 after cleaning)
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",,,Invalid Length (not 10 or 13 after cleaning)
The Help,Kathryn Stockett (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Outsiders,S.E. Hinton (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Lolita,"Vladimir Nabokov, Craig Raine (Afterword)",'B00IIAQY3Q,003,Invalid Length (not 10 or 13 after cleaning)
The Kite Runner,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Handmaid's Tale,Margaret Atwood (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Pillars of the Earth,Ken Follett (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Adventures of Sherlock Holmes,Arthur Conan Doyle,,,Invalid Length (not 10 or 13 after cleaning)
The Bell Jar,Sylvia Plath,,,Invalid Length (not 10 or 13 after cleaning)
One Flew Over the Cuckoo's Nest,Ken Kesey,,,Invalid Length (not 10 or 13 after cleaning)
Anna Karenina,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",,,Invalid Length (not 10 or 13 after cleaning)
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
1984,George Orwell,'B003JTHWKU,003,Invalid Length (not 10 or 13 after cleaning)
Siddhartha,"Hermann Hesse, Hilda Rosner (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Notebook,Nicholas Sparks (Goodreads Author),'B000Q67J66,0006766,Invalid Length (not 10 or 13 after cleaning)
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Harry Potter and the Half-Blood Prince,J.K. Rowling,,,Invalid Length (not 10 or 13 after cleaning)
The Stranger,"Albert Camus, Matthew Ward (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Metamorphosis,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
